Make,Model,Series,Trim,Engine model,Environmetal standard,Potencia(cm3),Engine Power(bhp),Torque(Nm),Engine Type,No of Cylinders,Fuel,Max speed (km/h),Payload,Amount of gear,Curb vehicle weight(kg),Gross vehicle weight(kg),Engine power at rpm (min-1),Torque at rpm (min-1)
Isuzu,Forward,Forward,FVR34UL-MDUS,6HK1,EURO IV,7790,280,882,Diesel,6,Diesel ,,12495,9,5505,18000,2400,1450
Isuzu,Forward,Forward,FVR34UL-QDUS,6HK1,EURO IV,7790,280,882,Diesel,6,Diesel ,,12365,9,5635,18000,2400,1450
JBC,SY1060,SY1060,SY1060DV3Y,,EURO IV,3200,120,320,Diesel,6,Diesel ,,,5,3250,8500,3200,2000
Mercedes-Benz,Atego,Atego 1823,1823,OM 906,EURO V,6370,231,810,Diesel,4,Diesel ,,,,,18000,,
Mercedes-Benz,Unimog,U300,405.101,OM 904 LA,EURO V,4250,150,,Diesel,4,Diesel ,75,,,,7500,,
Nissan,Atleon,Atleon,3.0TD (150 Hp),ZD30DDTi,EURO IV,2953,150,,,,,,1950,6,,3500,,
Scania,G,G400,G400,GR905,EURO IV,13000,400,1900,Diesel,6,Diesel ,,21500,9,,,1900,1200
Scania,P,P400,13.0D ,,EURO IV,13000,400,1900,Diesel,6,Diesel ,,34000,,,,1900,1200
Shacman,SX3316,SX3316DT366,SX3316DT366,WP12.375,EURO IV,9726,375,1800,Diesel,,Diesel ,,40000,12,17600,,,
Tatra,JAMAL T 163,Chassis,321RK4/371,TATRA T3D-928-20,EURO IV,12667,381,1800,Diesel,8,Diesel ,85,22580,10,10420,33000,1800,1200
Tatra,Phoenix,hoenix,T158,PACCAR MX300,EURO V,12902,408,2000,Diesel,8,Diesel ,,25500,,15500,41000,1500-1900,1000-1410
